处理,不完全区组,完整区组,产量,株高,含水量,穗长
品种A,IB1,区组I,562.7,269.2,27.0,26.0
品种B,IB1,区组I,618.5,271.2,23.9,26.3
品种C,IB1,区组I,543.0,268.4,25.4,19.4
品种D,IB2,区组I,698.2,275.4,23.9,24.1
品种E,IB2,区组I,658.9,272.6,26.5,27.9
品种F,IB2,区组I,574.1,260.2,24.9,13.7
品种A,IB3,区组II,615.1,262.5,24.8,24.2
品种D,IB3,区组II,691.7,262.8,26.6,21.5
品种E,IB3,区组II,686.8,277.5,28.5,27.9
品种B,IB4,区组II,747.4,254.9,24.7,25.6
品种C,IB4,区组II,652.1,224.0,26.7,22.0
品种F,IB4,区组II,654.8,264.2,25.0,27.9
品种A,IB5,区组III,733.1,248.8,27.4,23.3
品种C,IB5,区组III,651.2,248.5,25.2,24.2
品种F,IB5,区组III,574.9,254.3,25.7,23.8
品种B,IB6,区组III,678.3,231.4,24.0,21.3
品种D,IB6,区组III,727.5,275.5,26.4,25.4
品种E,IB6,区组III,786.0,274.0,23.3,25.6
