地点,品种,重复,产量
阜阳,GD655,1,473.9
阜阳,GD655,2,479.4
阜阳,GD655,3,495.6
阜阳,GD7019,1,603.0
阜阳,GD7019,2,564.9
阜阳,GD7019,3,608.4
阜阳,LN87,1,575.7
阜阳,LN87,2,610.3
阜阳,LN87,3,647.8
阜阳,郑单958,1,538.3
阜阳,郑单958,2,551.3
阜阳,郑单958,3,612.3
阜阳,LN79,1,636.9
阜阳,LN79,2,631.2
阜阳,LN79,3,634.0
宿州,GD655,1,655.0
宿州,GD655,2,655.0
宿州,GD655,3,678.7
宿州,GD7019,1,740.7
宿州,GD7019,2,740.7
宿州,GD7019,3,727.2
宿州,LN87,1,693.8
宿州,LN87,2,693.8
宿州,LN87,3,694.3
宿州,郑单958,1,624.6
宿州,郑单958,2,624.6
宿州,郑单958,3,633.2
宿州,LN79,1,639.4
宿州,LN79,2,639.4
宿州,LN79,3,636.4
徐州,GD655,1,575.6
徐州,GD655,2,596.6
徐州,GD655,3,661.9
徐州,GD7019,1,571.1
徐州,GD7019,2,630.4
徐州,GD7019,3,663.3
徐州,LN87,1,659.3
徐州,LN87,2,691.5
徐州,LN87,3,732.6
徐州,郑单958,1,506.1
徐州,郑单958,2,583.4
徐州,郑单958,3,608.0
徐州,LN79,1,546.4
徐州,LN79,2,503.8
徐州,LN79,3,515.0
东海,GD655,1,579.8
东海,GD655,2,730.6
东海,GD655,3,651.3
东海,GD7019,1,610.7
东海,GD7019,2,602.0
东海,GD7019,3,651.3
东海,LN87,1,617.7
东海,LN87,2,618.9
东海,LN87,3,660.1
东海,郑单958,1,573.5
东海,郑单958,2,595.6
东海,郑单958,3,639.6
东海,LN79,1,655.7
东海,LN79,2,619.6
东海,LN79,3,638.0
藁城,GD655,1,442.6
藁城,GD655,2,491.1
藁城,GD655,3,441.0
藁城,GD7019,1,481.7
藁城,GD7019,2,489.4
藁城,GD7019,3,524.9
藁城,LN87,1,556.1
藁城,LN87,2,528.2
藁城,LN87,3,541.0
藁城,郑单958,1,480.6
藁城,郑单958,2,503.5
藁城,郑单958,3,507.8
藁城,LN79,1,525.8
藁城,LN79,2,561.0
藁城,LN79,3,548.9
新河,GD655,1,719.7
新河,GD655,2,599.6
新河,GD655,3,656.5
新河,GD7019,1,713.1
新河,GD7019,2,734.9
新河,GD7019,3,745.9
新河,LN87,1,661.8
新河,LN87,2,696.4
新河,LN87,3,693.1
新河,郑单958,1,591.2
新河,郑单958,2,647.4
新河,郑单958,3,632.8
新河,LN79,1,678.1
新河,LN79,2,703.0
新河,LN79,3,673.4
沧县,GD655,1,741.0
沧县,GD655,2,653.9
沧县,GD655,3,700.9
沧县,GD7019,1,738.8
沧县,GD7019,2,736.0
沧县,GD7019,3,713.6
沧县,LN87,1,724.5
沧县,LN87,2,746.1
沧县,LN87,3,785.9
沧县,郑单958,1,677.6
沧县,郑单958,2,732.3
沧县,郑单958,3,698.2
沧县,LN79,1,734.2
沧县,LN79,2,756.6
沧县,LN79,3,776.5
献县,GD655,1,813.7
献县,GD655,2,859.6
献县,GD655,3,741.3
献县,GD7019,1,941.6
献县,GD7019,2,902.1
献县,GD7019,3,930.1
献县,LN87,1,887.7
献县,LN87,2,893.7
献县,LN87,3,901.4
献县,郑单958,1,806.4
献县,郑单958,2,833.5
献县,郑单958,3,832.1
献县,LN79,1,935.0
献县,LN79,2,914.3
献县,LN79,3,905.7
保定,GD655,1,725.4
保定,GD655,2,743.5
保定,GD655,3,720.7
保定,GD7019,1,804.6
保定,GD7019,2,797.9
保定,GD7019,3,793.4
保定,LN87,1,870.0
保定,LN87,2,855.1
保定,LN87,3,830.9
保定,郑单958,1,833.5
保定,郑单958,2,822.7
保定,郑单958,3,811.4
保定,LN79,1,799.5
保定,LN79,2,856.2
保定,LN79,3,803.4
巨鹿,GD655,1,708.1
巨鹿,GD655,2,640.1
巨鹿,GD655,3,662.6
巨鹿,GD7019,1,725.7
巨鹿,GD7019,2,686.5
巨鹿,GD7019,3,752.7
巨鹿,LN87,1,669.1
巨鹿,LN87,2,648.1
巨鹿,LN87,3,659.6
巨鹿,郑单958,1,643.8
巨鹿,郑单958,2,663.8
巨鹿,郑单958,3,708.6
巨鹿,LN79,1,604.3
巨鹿,LN79,2,640.7
巨鹿,LN79,3,585.4
石家庄,GD655,1,668.4
石家庄,GD655,2,743.9
石家庄,GD655,3,696.1
石家庄,GD7019,1,759.5
石家庄,GD7019,2,756.7
石家庄,GD7019,3,767.3
石家庄,LN87,1,716.1
石家庄,LN87,2,682.3
石家庄,LN87,3,661.7
石家庄,郑单958,1,785.0
石家庄,郑单958,2,775.6
石家庄,郑单958,3,740.6
石家庄,LN79,1,700.6
石家庄,LN79,2,745.6
石家庄,LN79,3,679.5
衡水,GD655,1,564.7
衡水,GD655,2,584.0
衡水,GD655,3,630.8
衡水,GD7019,1,634.6
衡水,GD7019,2,624.9
衡水,GD7019,3,608.4
衡水,LN87,1,612.7
衡水,LN87,2,615.8
衡水,LN87,3,649.3
衡水,郑单958,1,590.7
衡水,郑单958,2,616.5
衡水,郑单958,3,642.4
衡水,LN79,1,614.2
衡水,LN79,2,633.5
衡水,LN79,3,674.1
蠡县,GD655,1,703.3
蠡县,GD655,2,839.8
蠡县,GD655,3,838.1
蠡县,GD7019,1,805.0
蠡县,GD7019,2,835.7
蠡县,GD7019,3,815.3
蠡县,LN87,1,844.5
蠡县,LN87,2,776.5
蠡县,LN87,3,854.8
蠡县,郑单958,1,870.6
蠡县,郑单958,2,908.4
蠡县,郑单958,3,849.8
蠡县,LN79,1,767.2
蠡县,LN79,2,848.5
蠡县,LN79,3,746.0
永年,GD655,1,675.8
永年,GD655,2,530.4
永年,GD655,3,605.7
永年,GD7019,1,671.1
永年,GD7019,2,668.3
永年,GD7019,3,669.8
永年,LN87,1,686.0
永年,LN87,2,657.7
永年,LN87,3,665.7
永年,郑单958,1,628.9
永年,郑单958,2,677.9
永年,郑单958,3,653.8
永年,LN79,1,653.0
永年,LN79,2,662.7
永年,LN79,3,593.9
汝州,GD655,1,604.0
汝州,GD655,2,660.4
汝州,GD655,3,599.6
汝州,GD7019,1,558.0
汝州,GD7019,2,601.2
汝州,GD7019,3,592.8
汝州,LN87,1,608.3
汝州,LN87,2,596.7
汝州,LN87,3,641.3
汝州,郑单958,1,614.7
汝州,郑单958,2,626.0
汝州,郑单958,3,623.1
汝州,LN79,1,664.5
汝州,LN79,2,668.6
汝州,LN79,3,641.5
郑州,GD655,1,651.0
郑州,GD655,2,722.6
郑州,GD655,3,727.2
郑州,GD7019,1,703.5
郑州,GD7019,2,755.6
郑州,GD7019,3,717.2
郑州,LN87,1,758.3
郑州,LN87,2,780.9
郑州,LN87,3,815.8
郑州,郑单958,1,642.6
郑州,郑单958,2,631.6
郑州,郑单958,3,658.4
郑州,LN79,1,672.7
郑州,LN79,2,677.7
郑州,LN79,3,728.5
新乡,GD655,1,567.2
新乡,GD655,2,580.5
新乡,GD655,3,553.6
新乡,GD7019,1,567.4
新乡,GD7019,2,528.7
新乡,GD7019,3,545.3
新乡,LN87,1,657.8
新乡,LN87,2,641.5
新乡,LN87,3,619.9
新乡,郑单958,1,582.9
新乡,郑单958,2,572.9
新乡,郑单958,3,597.7
新乡,LN79,1,578.2
新乡,LN79,2,588.9
新乡,LN79,3,589.1
遂平,GD655,1,756.0
遂平,GD655,2,622.7
遂平,GD655,3,678.8
遂平,GD7019,1,763.7
遂平,GD7019,2,741.9
遂平,GD7019,3,771.6
遂平,LN87,1,894.4
遂平,LN87,2,796.1
遂平,LN87,3,960.9
遂平,郑单958,1,738.3
遂平,郑单958,2,736.9
遂平,郑单958,3,823.6
遂平,LN79,1,764.7
遂平,LN79,2,740.0
遂平,LN79,3,731.8
孟州,GD655,1,575.4
孟州,GD655,2,699.7
孟州,GD655,3,607.7
孟州,GD7019,1,723.0
孟州,GD7019,2,686.4
孟州,GD7019,3,754.3
孟州,LN87,1,702.5
孟州,LN87,2,746.5
孟州,LN87,3,711.6
孟州,郑单958,1,630.1
孟州,郑单958,2,693.9
孟州,郑单958,3,616.5
孟州,LN79,1,697.3
孟州,LN79,2,757.6
孟州,LN79,3,713.5
泛区,GD655,1,532.8
泛区,GD655,2,513.8
泛区,GD655,3,509.7
泛区,GD7019,1,630.6
泛区,GD7019,2,608.7
泛区,GD7019,3,594.0
泛区,LN87,1,455.6
泛区,LN87,2,500.8
泛区,LN87,3,501.9
泛区,郑单958,1,483.6
泛区,郑单958,2,493.8
泛区,郑单958,3,536.3
泛区,LN79,1,515.8
泛区,LN79,2,580.4
泛区,LN79,3,599.5
宁陵,GD655,1,743.3
宁陵,GD655,2,774.1
宁陵,GD655,3,790.9
宁陵,GD7019,1,828.5
宁陵,GD7019,2,780.6
宁陵,GD7019,3,818.7
宁陵,LN87,1,817.6
宁陵,LN87,2,840.1
宁陵,LN87,3,866.3
宁陵,郑单958,1,795.4
宁陵,郑单958,2,762.6
宁陵,郑单958,3,838.1
宁陵,LN79,1,860.6
宁陵,LN79,2,850.1
宁陵,LN79,3,869.9
南乐,GD655,1,750.9
南乐,GD655,2,700.1
南乐,GD655,3,708.7
南乐,GD7019,1,751.7
南乐,GD7019,2,742.8
南乐,GD7019,3,744.8
南乐,LN87,1,776.5
南乐,LN87,2,751.1
南乐,LN87,3,761.7
南乐,郑单958,1,731.2
南乐,郑单958,2,700.6
南乐,郑单958,3,710.7
南乐,LN79,1,768.3
南乐,LN79,2,766.8
南乐,LN79,3,789.4
许昌,GD655,1,761.1
许昌,GD655,2,771.8
许昌,GD655,3,831.5
许昌,GD7019,1,761.3
许昌,GD7019,2,721.0
许昌,GD7019,3,754.2
许昌,LN87,1,739.3
许昌,LN87,2,789.7
许昌,LN87,3,735.6
许昌,郑单958,1,755.9
许昌,郑单958,2,698.6
许昌,郑单958,3,725.8
许昌,LN79,1,755.0
许昌,LN79,2,717.4
许昌,LN79,3,690.7
镇平,GD655,1,671.9
镇平,GD655,2,682.6
镇平,GD655,3,748.0
镇平,GD7019,1,699.7
镇平,GD7019,2,694.6
镇平,GD7019,3,727.2
镇平,LN87,1,717.9
镇平,LN87,2,723.3
镇平,LN87,3,744.5
镇平,郑单958,1,709.9
镇平,郑单958,2,713.9
镇平,郑单958,3,765.5
镇平,LN79,1,761.8
镇平,LN79,2,797.0
镇平,LN79,3,803.2
方城,GD655,1,622.6
方城,GD655,2,481.4
方城,GD655,3,561.8
方城,GD7019,1,612.4
方城,GD7019,2,646.3
方城,GD7019,3,608.4
方城,LN87,1,725.4
方城,LN87,2,626.0
方城,LN87,3,753.1
方城,郑单958,1,608.0
方城,郑单958,2,570.7
方城,郑单958,3,593.9
方城,LN79,1,614.5
方城,LN79,2,640.6
方城,LN79,3,611.9
原阳,GD655,1,553.8
原阳,GD655,2,628.6
原阳,GD655,3,583.0
原阳,GD7019,1,638.3
原阳,GD7019,2,605.7
原阳,GD7019,3,613.3
原阳,LN87,1,619.7
原阳,LN87,2,609.9
原阳,LN87,3,605.7
原阳,郑单958,1,528.2
原阳,郑单958,2,529.4
原阳,郑单958,3,520.6
原阳,LN79,1,728.6
原阳,LN79,2,684.4
原阳,LN79,3,696.1
鹤壁,GD655,1,730.0
鹤壁,GD655,2,737.7
鹤壁,GD655,3,740.4
鹤壁,GD7019,1,764.6
鹤壁,GD7019,2,737.7
鹤壁,GD7019,3,757.5
鹤壁,LN87,1,810.2
鹤壁,LN87,2,853.2
鹤壁,LN87,3,831.7
鹤壁,郑单958,1,693.3
鹤壁,郑单958,2,708.8
鹤壁,郑单958,3,693.4
鹤壁,LN79,1,748.6
鹤壁,LN79,2,705.7
鹤壁,LN79,3,724.6
宁津,GD655,1,706.6
宁津,GD655,2,718.6
宁津,GD655,3,538.4
宁津,GD7019,1,772.8
宁津,GD7019,2,814.0
宁津,GD7019,3,800.6
宁津,LN87,1,734.6
宁津,LN87,2,856.0
宁津,LN87,3,784.7
宁津,郑单958,1,696.1
宁津,郑单958,2,799.7
宁津,郑单958,3,826.3
宁津,LN79,1,793.2
宁津,LN79,2,910.7
宁津,LN79,3,847.6
聊城,GD655,1,489.3
聊城,GD655,2,487.5
聊城,GD655,3,481.4
