氮肥,品种,重复,产量,株高,含水量,穗长
低氮,品种A,重复1,536.8,255.9,26.5,21.7
低氮,品种B,重复1,651.8,267.1,25.2,21.7
低氮,品种C,重复1,597.9,267.2,27.8,26.8
低氮,品种D,重复1,616.7,267.6,26.6,29.6
中氮,品种A,重复1,626.6,286.7,26.6,22.4
中氮,品种B,重复1,642.1,240.4,21.5,25.0
中氮,品种C,重复1,694.3,268.7,26.3,27.3
中氮,品种D,重复1,769.5,303.0,24.6,28.5
高氮,品种A,重复1,729.5,286.3,26.2,26.6
高氮,品种B,重复1,764.5,286.3,21.7,25.6
高氮,品种C,重复1,670.9,280.9,24.8,21.9
高氮,品种D,重复1,757.8,284.3,22.3,25.2
低氮,品种A,重复2,660.2,275.6,23.6,26.8
低氮,品种B,重复2,540.9,247.6,26.5,18.5
低氮,品种C,重复2,546.6,254.0,26.2,25.0
低氮,品种D,重复2,617.6,250.0,25.3,20.7
中氮,品种A,重复2,630.8,256.6,23.8,28.8
中氮,品种B,重复2,718.1,233.7,25.8,26.5
中氮,品种C,重复2,647.6,271.9,24.2,20.8
中氮,品种D,重复2,714.3,265.3,25.1,19.0
高氮,品种A,重复2,734.2,266.6,28.1,28.0
高氮,品种B,重复2,751.8,274.9,27.7,24.0
高氮,品种C,重复2,632.0,286.2,23.5,24.9
高氮,品种D,重复2,775.3,279.9,24.6,22.6
低氮,品种A,重复3,520.4,233.3,25.4,23.7
低氮,品种B,重复3,643.0,266.4,27.0,18.9
低氮,品种C,重复3,585.3,247.3,24.5,24.1
低氮,品种D,重复3,617.6,268.5,20.4,26.5
中氮,品种A,重复3,652.5,262.0,29.0,23.2
中氮,品种B,重复3,592.6,279.7,24.4,24.5
中氮,品种C,重复3,685.6,271.6,29.4,21.6
中氮,品种D,重复3,698.9,258.3,20.9,27.3
高氮,品种A,重复3,752.2,257.5,27.2,22.4
高氮,品种B,重复3,622.4,269.4,25.8,24.6
高氮,品种C,重复3,625.8,286.2,23.7,18.7
高氮,品种D,重复3,762.7,248.2,22.7,17.9
