品种,地点,区组,产量
郑单958,北京昌平,区组1,672.5
郑单958,北京昌平,区组2,667.9
郑单958,北京昌平,区组3,684.7
郑单958,河南新乡,区组1,727.8
郑单958,河南新乡,区组2,706.5
郑单958,河南新乡,区组3,711.5
郑单958,山东济南,区组1,693.7
郑单958,山东济南,区组2,686.5
郑单958,山东济南,区组3,673.0
郑单958,河北石家庄,区组1,698.1
郑单958,河北石家庄,区组2,688.0
郑单958,河北石家庄,区组3,693.0
郑单958,辽宁沈阳,区组1,658.6
郑单958,辽宁沈阳,区组2,631.3
郑单958,辽宁沈阳,区组3,639.1
先玉335,北京昌平,区组1,686.6
先玉335,北京昌平,区组2,684.8
先玉335,北京昌平,区组3,709.7
先玉335,河南新乡,区组1,721.4
先玉335,河南新乡,区组2,718.8
先玉335,河南新乡,区组3,767.0
先玉335,山东济南,区组1,696.6
先玉335,山东济南,区组2,706.0
先玉335,山东济南,区组3,688.6
先玉335,河北石家庄,区组1,711.8
先玉335,河北石家庄,区组2,726.7
先玉335,河北石家庄,区组3,712.7
先玉335,辽宁沈阳,区组1,690.6
先玉335,辽宁沈阳,区组2,681.0
先玉335,辽宁沈阳,区组3,690.6
京科968,北京昌平,区组1,636.0
京科968,北京昌平,区组2,677.8
京科968,北京昌平,区组3,654.8
京科968,河南新乡,区组1,669.1
京科968,河南新乡,区组2,702.3
京科968,河南新乡,区组3,676.7
京科968,山东济南,区组1,653.1
京科968,山东济南,区组2,625.6
京科968,山东济南,区组3,640.1
京科968,河北石家庄,区组1,673.0
京科968,河北石家庄,区组2,686.1
京科968,河北石家庄,区组3,682.6
京科968,辽宁沈阳,区组1,633.3
京科968,辽宁沈阳,区组2,635.5
京科968,辽宁沈阳,区组3,622.8
中单909,北京昌平,区组1,674.2
中单909,北京昌平,区组2,683.1
中单909,北京昌平,区组3,710.9
中单909,河南新乡,区组1,730.2
中单909,河南新乡,区组2,703.6
中单909,河南新乡,区组3,739.9
中单909,山东济南,区组1,684.2
中单909,山东济南,区组2,684.8
中单909,山东济南,区组3,709.2
中单909,河北石家庄,区组1,725.5
中单909,河北石家庄,区组2,729.0
中单909,河北石家庄,区组3,707.4
中单909,辽宁沈阳,区组1,670.4
中单909,辽宁沈阳,区组2,685.0
中单909,辽宁沈阳,区组3,699.6
登海605,北京昌平,区组1,667.8
登海605,北京昌平,区组2,677.2
登海605,北京昌平,区组3,668.4
登海605,河南新乡,区组1,697.1
登海605,河南新乡,区组2,732.2
登海605,河南新乡,区组3,745.3
登海605,山东济南,区组1,678.9
登海605,山东济南,区组2,700.1
登海605,山东济南,区组3,695.4
登海605,河北石家庄,区组1,690.3
登海605,河北石家庄,区组2,710.4
登海605,河北石家庄,区组3,733.1
登海605,辽宁沈阳,区组1,664.5
登海605,辽宁沈阳,区组2,693.5
登海605,辽宁沈阳,区组3,635.7
联创808,北京昌平,区组1,672.3
联创808,北京昌平,区组2,666.3
联创808,北京昌平,区组3,665.5
联创808,河南新乡,区组1,701.4
联创808,河南新乡,区组2,675.2
联创808,河南新乡,区组3,706.7
联创808,山东济南,区组1,670.4
联创808,山东济南,区组2,692.2
联创808,山东济南,区组3,667.2
联创808,河北石家庄,区组1,672.9
联创808,河北石家庄,区组2,682.5
联创808,河北石家庄,区组3,708.7
联创808,辽宁沈阳,区组1,654.9
联创808,辽宁沈阳,区组2,647.1
联创808,辽宁沈阳,区组3,667.7
华美1号,北京昌平,区组1,671.5
华美1号,北京昌平,区组2,689.5
华美1号,北京昌平,区组3,669.5
华美1号,河南新乡,区组1,705.1
华美1号,河南新乡,区组2,709.1
华美1号,河南新乡,区组3,698.0
华美1号,山东济南,区组1,679.4
华美1号,山东济南,区组2,683.9
华美1号,山东济南,区组3,685.1
华美1号,河北石家庄,区组1,691.5
华美1号,河北石家庄,区组2,678.8
华美1号,河北石家庄,区组3,698.7
华美1号,辽宁沈阳,区组1,654.9
华美1号,辽宁沈阳,区组2,653.0
华美1号,辽宁沈阳,区组3,667.6
豫单9953,北京昌平,区组1,656.1
豫单9953,北京昌平,区组2,683.3
豫单9953,北京昌平,区组3,662.6
豫单9953,河南新乡,区组1,693.9
豫单9953,河南新乡,区组2,693.9
豫单9953,河南新乡,区组3,671.2
豫单9953,山东济南,区组1,654.6
豫单9953,山东济南,区组2,660.9
豫单9953,山东济南,区组3,701.9
豫单9953,河北石家庄,区组1,672.1
豫单9953,河北石家庄,区组2,684.5
豫单9953,河北石家庄,区组3,684.5
豫单9953,辽宁沈阳,区组1,622.5
豫单9953,辽宁沈阳,区组2,662.1
豫单9953,辽宁沈阳,区组3,661.3
