处理,区组,类型,产量,株高,含水量,穗长
CK1,区组I,对照,557.5,257.8,26.6,26.3
CK2,区组I,对照,627.9,268.3,24.7,21.7
CK3,区组I,对照,662.3,263.0,26.3,24.0
CK1,区组II,对照,597.9,258.6,24.9,26.8
CK2,区组II,对照,703.0,267.1,26.3,28.5
CK3,区组II,对照,583.5,253.1,24.7,20.0
CK1,区组III,对照,659.7,278.0,22.0,20.1
CK2,区组III,对照,667.0,289.3,23.8,23.4
CK3,区组III,对照,700.6,275.7,21.6,24.3
测试01,区组I,测试,643.8,263.8,24.6,24.6
测试02,区组II,测试,619.0,258.0,25.2,23.0
测试03,区组III,测试,665.3,247.6,23.3,25.7
测试04,区组I,测试,625.0,294.3,23.7,25.0
测试05,区组II,测试,673.7,281.7,25.4,30.1
测试06,区组III,测试,678.8,257.0,25.5,20.8
测试07,区组I,测试,787.2,268.5,24.5,22.2
测试08,区组II,测试,621.6,234.0,21.1,18.6
测试09,区组III,测试,764.1,229.2,25.8,28.4
测试10,区组I,测试,635.9,244.8,27.3,24.0
