处理,产量,株高,含水量,穗长
品种A,674.8,262.9,26.3,28.6
品种A,662.9,251.4,24.2,22.4
品种A,612.5,284.7,27.5,19.2
品种A,651.3,268.9,24.2,23.4
品种B,719.2,285.5,26.6,22.0
品种B,647.6,286.6,26.8,26.3
品种B,640.3,251.0,23.7,27.6
品种B,637.8,254.7,26.3,29.9
品种C,542.0,263.0,23.8,19.3
品种C,605.5,265.2,27.5,19.6
品种C,646.0,244.5,25.5,21.3
品种C,630.3,281.0,20.9,21.8
品种D,577.4,249.8,25.2,20.1
品种D,588.8,264.5,21.4,25.0
品种D,618.1,274.9,27.2,22.7
品种D,663.4,263.0,21.6,21.8
品种E,672.0,236.5,23.4,24.6
品种E,626.5,276.4,25.8,19.8
品种E,663.9,259.2,27.3,20.9
品种E,688.4,274.6,25.0,27.8
品种F,639.4,256.6,24.4,27.3
品种F,533.1,281.2,25.1,22.0
品种F,695.0,234.8,22.7,30.5
品种F,598.3,256.4,23.3,22.4
