处理,行区组,列区组,产量,株高,含水量,穗长
A,R1,C1,632.1,267.2,27.0,29.5
B,R1,C2,705.6,256.4,21.7,27.6
C,R1,C3,611.9,260.1,23.8,19.6
D,R1,C4,685.4,279.6,23.1,24.2
B,R2,C1,715.7,265.5,26.6,29.3
C,R2,C2,653.2,259.6,22.2,28.2
D,R2,C3,694.4,296.8,25.1,23.2
A,R2,C4,710.4,265.7,25.4,25.7
C,R3,C1,607.0,251.4,27.5,19.3
D,R3,C2,666.6,271.9,24.3,24.0
A,R3,C3,671.4,264.8,25.2,19.3
B,R3,C4,732.6,250.0,27.6,34.3
D,R4,C1,807.2,270.1,24.8,20.7
A,R4,C2,563.3,261.5,23.6,26.4
B,R4,C3,690.2,258.5,24.9,23.3
C,R4,C4,689.8,274.6,23.9,24.9
