主处理,副处理,区组,产量,株高,含水量,穗长
免耕,品种A,区组I,654.4,257.1,24.6,25.4
免耕,品种B,区组I,680.6,256.7,23.1,29.7
免耕,品种C,区组I,688.5,253.2,23.6,20.4
免耕,品种D,区组I,763.5,249.7,30.0,24.2
翻耕,品种A,区组I,677.8,266.6,24.5,20.3
翻耕,品种B,区组I,654.4,252.4,25.7,26.0
翻耕,品种C,区组I,627.7,243.8,28.1,23.2
翻耕,品种D,区组I,640.6,266.4,24.5,26.3
深松,品种A,区组I,794.9,260.0,24.4,26.3
深松,品种B,区组I,676.1,263.0,29.8,22.6
深松,品种C,区组I,703.6,282.9,24.3,23.8
深松,品种D,区组I,668.5,263.4,26.1,27.9
免耕,品种A,区组II,651.9,290.4,26.8,25.8
免耕,品种B,区组II,646.3,242.5,26.3,25.3
免耕,品种C,区组II,545.9,262.6,25.1,29.0
免耕,品种D,区组II,632.2,280.3,26.1,27.1
翻耕,品种A,区组II,626.2,275.0,28.7,23.2
翻耕,品种B,区组II,708.3,277.4,23.7,19.1
翻耕,品种C,区组II,690.3,265.2,22.8,18.3
翻耕,品种D,区组II,726.6,258.0,24.5,27.6
深松,品种A,区组II,699.4,262.1,24.5,25.0
深松,品种B,区组II,735.7,259.6,28.1,25.8
深松,品种C,区组II,640.6,264.3,25.8,23.2
深松,品种D,区组II,748.4,277.4,26.6,30.0
免耕,品种A,区组III,657.0,251.9,26.7,25.2
免耕,品种B,区组III,675.2,247.5,21.9,21.7
免耕,品种C,区组III,659.7,267.1,26.2,21.2
免耕,品种D,区组III,639.0,286.7,22.0,18.2
翻耕,品种A,区组III,624.0,252.9,24.2,27.0
翻耕,品种B,区组III,754.0,295.7,26.8,22.9
翻耕,品种C,区组III,652.6,260.2,23.1,25.4
翻耕,品种D,区组III,771.5,294.8,23.8,26.1
深松,品种A,区组III,718.9,252.1,26.0,22.7
深松,品种B,区组III,742.4,259.8,25.3,20.5
深松,品种C,区组III,775.4,261.7,23.0,28.2
深松,品种D,区组III,767.8,255.2,27.6,25.4
