处理,类型,位置,产量,株高,含水量,穗长
CK1,对照,1,723.3,269.6,22.1,23.6
品系01,处理,2,694.1,264.0,22.7,21.4
品系02,处理,3,675.7,240.7,23.9,18.7
品系03,处理,4,660.5,239.4,24.3,27.4
CK2,对照,5,727.8,272.7,22.3,24.4
CK1,对照,6,650.1,243.4,24.7,26.2
品系04,处理,7,797.0,253.9,26.2,13.0
品系05,处理,8,636.2,257.5,23.2,26.5
品系06,处理,9,642.6,272.9,25.9,20.4
品系07,处理,10,648.1,256.5,23.9,20.9
CK1,对照,11,635.5,265.7,23.3,22.2
品系08,处理,12,713.0,269.1,24.2,19.7
品系09,处理,13,526.4,259.8,24.1,26.4
品系10,处理,14,721.3,250.9,23.9,23.4
CK2,对照,15,654.6,262.8,25.5,24.2
CK1,对照,16,697.6,256.4,23.5,21.7
品系11,处理,17,617.0,259.1,25.8,20.9
品系12,处理,18,594.9,262.2,28.2,20.0
品系13,处理,19,586.3,252.9,23.6,21.4
品系14,处理,20,681.8,242.3,21.1,24.3
CK1,对照,21,641.9,264.1,24.5,24.8
品系15,处理,22,614.8,242.3,22.4,24.4
品系16,处理,23,524.9,260.1,24.1,26.7
品系17,处理,24,548.0,256.1,24.9,20.2
CK2,对照,25,736.7,239.4,23.1,28.1
CK1,对照,26,742.3,270.6,24.8,20.5
品系18,处理,27,511.2,268.6,27.0,22.4
品系19,处理,28,638.3,258.7,24.0,26.8
品系20,处理,29,741.8,271.3,22.8,25.1
品系21,处理,30,661.2,258.0,21.2,20.3
CK1,对照,31,757.0,270.6,24.5,28.2
品系22,处理,32,661.8,223.0,23.2,20.0
品系23,处理,33,689.3,268.0,22.0,21.1
品系24,处理,34,726.4,253.0,24.1,22.0
CK2,对照,35,662.4,274.7,26.0,21.7
CK1,对照,36,659.0,259.9,23.1,17.9
品系25,处理,37,687.8,227.6,23.7,26.2
品系26,处理,38,685.9,242.2,24.3,23.9
品系27,处理,39,758.6,276.1,25.5,24.3
品系28,处理,40,597.8,277.1,26.0,24.0
CK1,对照,41,660.0,269.0,24.2,25.4
品系29,处理,42,734.1,252.2,24.5,22.0
品系30,处理,43,596.5,256.2,23.2,26.7
品系31,处理,44,650.1,253.2,23.4,24.6
CK2,对照,45,664.7,252.8,22.2,21.7
CK1,对照,46,600.0,266.0,25.2,28.4
品系32,处理,47,682.7,252.9,21.6,22.6
品系33,处理,48,510.6,254.3,25.7,28.1
品系34,处理,49,611.3,267.4,23.7,24.1
品系35,处理,50,641.4,270.1,24.1,26.8
CK1,对照,51,689.8,247.8,23.5,24.5
品系36,处理,52,629.8,258.8,25.0,18.7
品系37,处理,53,707.0,233.1,24.6,30.4
品系38,处理,54,722.5,244.1,22.0,26.2
CK2,对照,55,698.0,236.9,24.9,22.4
